TimeHorizon:780
StationNum:3
WorkerNum:191
ParcelNum:288
stationCapacity:100
workerCapacity:3
station lat lng
1 500 1000
2 67 250
3 933 250
worker latO lngO latD lngD earliestD lastA drivingTMax
60 344 952 983 512 226 274 36
61 398 706 92 533 548 586 16
62 344 764 447 13 45 93 36
63 183 762 645 528 138 180 24
64 85 486 285 809 206 245 18
65 439 921 282 690 567 603 12
66 11 220 869 804 416 470 48
67 953 960 890 71 705 756 42
68 407 997 885 281 338 388 40
69 527 626 925 867 505 546 22
70 900 705 835 965 28 64 12
71 880 775 838 456 156 193 14
72 233 856 603 258 428 474 32
73 898 976 390 315 696 746 40
74 816 701 912 247 418 459 22
75 976 942 300 97 344 399 50
76 852 404 598 9 91 132 22
77 388 899 352 487 318 357 18
78 788 804 240 812 579 622 26
79 824 67 402 151 388 428 20
80 74 819 763 701 510 556 32
81 215 451 629 333 230 270 20
82 621 298 15 767 630 678 36
83 247 101 22 330 412 449 14
84 407 141 931 901 345 397 44
85 528 43 718 972 264 316 44
86 300 160 131 820 524 570 32
87 286 840 953 259 303 354 42
88 783 112 713 619 465 507 24
89 259 438 367 999 180 223 26
90 47 482 980 240 193 246 46
91 34 810 562 503 18 62 28
92 660 987 705 340 582 627 30
93 442 109 812 229 203 242 18
94 242 80 595 345 458 498 20
95 26 660 191 889 237 273 12
96 227 730 874 141 268 318 40
97 893 251 200 42 562 609 34
98 952 175 266 229 554 600 32
99 745 698 561 946 405 442 14
100 3 108 329 97 318 355 14
101 647 257 864 81 413 449 12
102 64 531 398 880 719 760 22
103 248 300 917 138 243 289 32
104 864 223 217 654 209 257 36
105 62 729 431 858 369 408 18
106 169 8 434 211 521 559 16
107 229 668 746 395 607 651 28
108 105 134 463 281 92 131 18
109 848 931 605 114 613 663 40
110 760 373 564 932 40 84 28
111 123 49 800 873 46 101 50
112 250 586 872 918 693 739 32
113 727 298 88 318 145 190 30
114 268 824 527 371 271 313 24
115 417 273 99 558 532 572 20
116 870 632 888 24 653 697 28
117 569 491 864 279 586 624 16
118 232 190 932 564 218 267 38
119 829 113 390 804 377 426 38
120 716 738 395 462 104 144 20
121 35 719 612 777 164 207 26
122 370 415 304 808 353 392 18
123 61 319 795 906 477 529 44
124 634 443 906 931 477 520 26
125 689 829 105 965 35 79 28
126 589 34 421 751 309 356 34
127 264 329 869 771 359 406 34
128 703 67 189 538 329 375 32
129 958 891 53 379 169 223 48
130 262 472 509 202 73 111 16
131 79 234 812 410 462 510 36
132 167 519 971 313 596 645 38
133 377 928 306 589 547 585 16
134 883 41 294 309 720 765 30
135 415 820 257 530 335 372 14
136 102 786 914 786 268 317 38
137 174 503 732 232 30 74 28
138 300 357 195 905 653 696 26
139 16 229 667 799 582 632 40
140 665 826 245 738 671 711 20
141 666 120 255 781 328 376 36
142 512 437 739 711 230 268 16
143 314 568 17 138 423 465 24
144 949 696 952 248 735 775 20
145 138 574 108 29 219 262 26
146 60 422 578 334 539 581 24
147 878 63 123 301 694 742 36
148 385 722 86 447 185 224 18
149 114 664 836 902 623 671 36
150 704 155 337 94 28 66 16
151 2 508 866 690 192 243 42
152 386 600 688 380 360 398 16
153 175 156 508 172 571 609 16
154 703 888 353 858 331 369 16
155 28 353 953 797 332 386 48
156 816 33 140 350 16 63 34
157 479 607 310 838 620 656 12
158 482 633 504 328 333 370 14
159 356 176 410 700 196 238 24
160 731 504 330 676 527 567 20
161 24 441 926 505 47 98 42
162 125 281 413 455 451 489 16
163 957 527 304 785 119 165 32
164 774 414 969 848 620 661 22
165 7 655 365 569 419 457 16
166 0 149 606 610 404 452 36
167 581 738 672 417 669 707 16
168 615 221 717 772 393 436 26
169 656 984 431 633 269 309 20
170 611 607 6 329 134 179 30
171 655 838 960 705 77 114 14
172 89 803 499 941 185 225 20
173 274 837 434 633 50 86 12
174 836 939 4 246 397 452 50
175 769 86 107 934 415 470 50
176 306 252 761 704 714 759 30
177 979 553 390 406 155 199 28
178 141 578 906 911 486 536 40
179 54 485 889 936 663 715 44
180 351 945 182 538 39 79 20
181 265 137 199 777 338 383 30
182 940 348 406 880 490 538 36
183 335 495 846 703 95 138 26
184 180 133 824 302 177 222 30
185 717 485 510 737 495 532 14
186 618 855 954 175 255 303 36
187 817 947 96 937 602 649 34
188 464 763 858 708 133 172 18
189 953 118 115 157 386 436 40
190 832 357 689 736 157 196 18
191 773 618 762 251 91 129 16
parcel lat lng deadline
1 612 199 502
2 684 851 72
3 806 263 410
4 637 357 556
5 634 731 269
6 664 595 218
7 677 874 561
8 697 604 589
9 86 108 513
10 9 596 230
11 406 956 183
12 148 84 411
13 349 524 633
14 947 317 621
15 646 27 301
16 718 325 110
17 906 651 247
18 908 868 110
19 77 834 431
20 992 428 286
21 337 341 101
22 482 288 310
23 415 572 309
24 246 853 394
25 109 299 433
26 5 669 114
27 255 457 150
28 909 568 84
29 986 234 643
30 920 756 309
31 441 88 250
32 569 543 681
33 897 775 391
34 226 802 149
35 640 347 265
36 850 655 670
37 742 663 684
38 290 424 335
39 553 92 469
40 286 957 199
41 129 245 472
42 435 940 107
43 732 726 322
44 624 979 385
45 416 416 629
46 826 58 538
47 913 873 126
48 326 380 447
49 937 700 379
50 826 559 603
51 822 590 240
52 788 123 242
53 455 671 139
54 317 685 638
55 123 549 401
56 756 911 288
57 50 508 774
58 731 971 656
59 52 855 321
60 693 636 359
61 130 344 616
62 98 41 293
63 555 470 600
64 925 566 284
65 105 781 660
66 812 738 243
67 96 457 331
68 193 37 572
69 750 998 621
70 713 377 250
71 57 697 694
72 504 197 419
73 727 494 463
74 30 311 66
75 429 144 92
76 183 932 651
77 515 67 216
78 904 97 142
79 850 281 744
80 856 1 572
81 92 113 678
82 273 665 252
83 514 82 510
84 694 598 738
85 955 545 717
86 418 558 526
87 242 978 692
88 739 169 461
89 29 177 181
90 549 395 130
91 267 75 710
92 354 814 177
93 666 528 190
94 622 830 653
95 92 906 315
96 957 6 333
97 68 61 482
98 207 587 407
99 599 648 594
100 17 702 457
101 278 581 133
102 139 439 96
103 359 900 184
104 307 647 408
105 919 921 171
106 13 415 193
107 81 655 377
108 652 200 509
109 292 936 150
110 380 49 237
111 427 729 511
112 945 802 730
113 130 746 202
114 794 150 117
115 16 297 508
116 839 433 580
117 981 726 192
118 133 673 218
119 709 822 497
120 993 615 226
121 995 677 723
122 56 320 174
123 353 945 569
124 102 17 708
125 543 844 586
126 726 266 420
127 944 700 709
128 2 569 417
129 383 363 386
130 644 381 550
131 738 647 84
132 925 264 184
133 871 137 296
134 462 4 612
135 630 680 526
136 597 758 504
137 869 62 688
138 748 82 266
139 239 564 349
140 277 764 443
141 575 418 116
142 585 637 331
143 350 533 217
144 393 463 317
145 658 570 509
146 99 899 457
147 778 1 719
148 675 682 714
149 405 693 743
150 486 361 119
151 905 954 173
152 168 343 374
153 403 374 596
154 111 617 694
155 395 526 284
156 566 346 358
157 337 760 544
158 975 574 507
159 368 849 426
160 888 203 91
161 740 867 363
162 712 181 225
163 810 168 563
164 924 776 191
165 979 276 200
166 433 571 635
167 497 386 556
168 651 251 696
169 704 274 562
170 158 422 66
171 589 261 236
172 578 815 169
173 106 580 150
174 376 586 332
175 915 744 712
176 742 479 184
177 513 366 241
178 669 455 478
179 292 387 649
180 491 202 154
181 63 922 246
182 787 990 616
183 422 190 699
184 775 517 250
185 238 923 396
186 794 427 62
187 485 623 197
188 716 603 105
189 384 901 610
190 208 400 760
191 863 568 672
192 473 40 208
193 567 988 592
194 281 999 335
195 44 4 773
196 763 761 321
197 37 567 188
198 526 664 327
199 230 780 152
200 19 766 331
201 675 686 101
202 18 851 732
203 292 841 123
204 516 721 123
205 833 61 207
206 690 527 101
207 29 570 160
208 259 444 287
209 753 424 523
210 747 462 326
211 202 510 543
212 444 757 231
213 635 529 370
214 310 765 705
215 211 608 240
216 759 555 245
217 784 434 463
218 575 734 252
219 234 493 518
220 638 224 307
221 108 715 742
222 4 955 158
223 844 603 345
224 334 958 531
225 444 99 437
226 226 253 658
227 282 880 270
228 748 850 449
229 367 534 693
230 625 343 462
231 914 913 564
232 125 541 629
233 65 369 460
234 545 601 478
235 367 379 173
236 741 978 261
237 784 502 355
238 878 347 713
239 326 770 567
240 763 494 648
241 413 515 255
242 631 919 422
243 501 606 150
244 476 22 213
245 780 505 254
246 547 428 87
247 580 425 704
248 30 367 489
249 737 141 688
250 962 592 114
251 309 524 85
252 580 38 551
253 665 638 240
254 135 578 689
255 629 631 153
256 501 223 169
257 49 525 77
258 656 456 400
259 424 764 64
260 72 355 341
261 75 872 361
262 51 518 659
263 992 644 724
264 303 414 523
265 224 557 749
266 711 483 74
267 933 250 326
268 46 598 619
269 617 993 375
270 188 816 493
271 334 458 527
272 65 991 324
273 383 233 513
274 485 768 721
275 972 386 257
276 502 763 311
277 892 400 767
278 639 318 269
279 147 837 351
280 129 390 714
281 689 739 245
282 187 735 566
283 263 610 197
284 665 405 664
285 212 478 307
286 784 249 373
287 456 454 134
288 615 858 438
